"","SPY.Price","XLE.Price","XLY.Price","XLK.Price","XLF.Price","XLU.Price","XLB.Price","XLP.Price","XLI.Price","XLV.Price"
"78",93.995491,35.943642,26.841457,17.383999,18.972223,17.192926,23.411079,15.126216,24.737822,23.088106
"79",94.017143,35.374187,27.025129,17.447163,19.081699,17.021502,23.4042,15.267708,24.873672,23.088106
"80",94.471336,34.971851,27.240767,17.620846,19.381283,17.248236,22.936527,15.28701,24.737822,22.960878
"81",94.788582,35.367992,27.224779,17.249802,19.565653,17.320126,23.03969,15.32559,24.687775,23.192886
"82",94.017143,35.949837,27.073055,17.107689,19.260286,17.15975,23.191002,15.319155,24.752115,22.990822
"83",94.723717,36.748302,27.097008,17.18664,19.381283,17.436255,23.417955,15.40919,24.952311,22.990822
"84",94.370415,36.178856,27.168886,17.147163,19.363998,17.380953,23.424833,15.306292,24.959455,22.736361
"85",94.709267,36.01173,27.320627,17.210323,19.404331,17.403069,23.658669,15.332024,25.259741,22.811205
"86",95.545662,36.432621,27.640072,17.305048,19.680878,17.795702,23.823721,15.473505,25.509987,23.035723
"87",95.430275,36.271706,27.679998,17.328741,19.600214,17.657455,23.913137,15.557113,25.488531,23.028236
"88",95.617722,36.488342,27.759855,17.257689,19.634789,17.508144,24.071323,15.602132,25.488531,22.863592
"89",95.567245,36.828773,27.775831,17.076115,19.646309,17.646399,24.078196,15.537819,25.502821,22.841141
"90",94.413673,36.352158,27.496307,16.720852,19.323677,17.480497,23.748081,15.344888,25.37413,22.796225
"91",93.180801,35.120426,27.224779,16.56296,19.127787,17.286943,23.239138,15.222689,24.973757,22.743849
"92",93.368279,34.383823,27.296669,16.578749,19.260286,17.397547,22.936527,15.389898,24.980909,23.065657
"93",93.231262,34.507618,27.105005,16.420862,19.237257,17.320126,22.943407,15.447783,24.973757,23.125523
"94",91.457634,33.628689,26.729649,16.199808,18.85124,17.054682,22.324429,15.254836,24.458981,22.88604
"95",90.996193,33.220173,26.713682,16.144548,18.684158,17.04915,22.090599,15.17767,24.258799,22.788752
"96",91.637878,33.436817,26.89736,16.262966,18.78211,17.192926,22.180008,15.190531,24.337437,22.661522
"97",90.938515,33.244934,26.705685,16.120859,18.736017,17.325651,21.698574,15.235557,24.287382,22.564234
"98",90.246346,33.25111,26.506037,16.002443,18.643827,17.082335,21.746723,15.229116,24.172997,22.459452
"99",90.967323,32.842613,26.545969,16.160334,18.655355,17.143162,21.650434,15.344888,24.108654,22.526802
"100",92.092094,33.993896,26.801525,16.310333,18.822428,17.303543,22.021818,15.492801,24.273094,22.736361
"101",92.56073,34.105289,26.889366,16.389273,18.977997,17.491556,22.393206,15.492801,24.408932,22.863592
"102",90.916893,33.566795,26.482075,16.065601,18.695677,17.314594,21.863638,15.299861,24.094355,22.564234
"103",91.933472,34.383823,26.769581,16.128765,18.828194,17.602148,22.111233,15.357748,24.265944,22.706421
"104",92.813087,34.476688,27.18487,16.405071,19.047123,17.779114,22.35195,15.441342,24.516172,23.028236
"105",93.007751,34.990437,27.128952,16.349798,19.156591,17.994791,22.565147,15.40919,24.551929,23.11804
"106",91.652298,33.88866,26.697704,16.105072,18.845476,17.779114,21.89115,15.190531,24.022842,22.75882
"107",91.42878,33.857719,26.561935,16.105072,18.799383,17.812304,21.705456,15.235557,23.929903,22.796225
"108",90.74382,32.557869,26.569927,15.884022,18.862761,17.745937,21.210276,15.229116,23.665371,22.901005
"109",90.664536,33.015923,26.529993,15.805079,18.897333,17.806768,21.141497,15.280572,23.679663,22.938433
"110",90.376129,32.68166,26.466103,15.741918,18.833956,17.956078,21.031462,15.293427,23.479481,22.773781
"111",89.395538,32.01318,26.114716,15.449816,18.626547,17.994791,20.701334,15.203399,23.18634,22.541775
"112",88.357346,31.06616,25.907078,15.465613,18.263578,17.779114,20.350588,15.151951,23.114855,22.481899
"113",89.042313,31.864624,26.026867,15.568247,18.154112,17.646399,20.618801,15.216263,23.315046,22.519321
"114",90.931305,33.077808,26.59388,15.962962,18.557415,17.917372,21.306559,15.338452,23.844105,22.796225
"115",90.268684,32.988972,26.530659,15.939283,18.43977,17.905663,21.17985,15.355906,23.840532,22.766933
"116",89.559006,31.746452,26.386597,15.868234,18.312277,17.660294,20.757502,15.297724,23.654167,22.594173
"117",89.863113,31.597359,26.290562,15.844555,18.364433,17.704906,20.847515,15.407632,23.62549,22.511553
"118",90.529366,32.305576,26.546661,16.04981,18.515106,17.688185,21.352943,15.465829,23.905033,22.624226
"119",90.131081,32.442268,26.338572,15.860333,18.445562,17.626842,21.242163,15.439963,23.761684,22.496534
"120",90.1166,33.162914,26.314571,15.812976,18.323872,17.654722,21.422178,15.388235,23.826185,22.51906
"121",90.514908,33.529461,26.450626,15.844555,18.486132,17.727215,21.484493,15.472289,23.890699,22.436443
"122",89.732773,33.591583,26.114494,15.631392,18.306488,17.660294,21.21447,15.401166,23.668499,22.203581
"123",90.341087,34.169376,26.1385,15.734023,18.404991,17.710491,21.269865,15.472289,23.740173,22.203581
"124",92.166,35.138519,26.706732,16.136654,18.793262,17.939119,22.121492,15.717992,24.241936,22.586666
"125",92.173279,35.256569,26.722731,16.04981,18.74111,18.006031,22.225355,15.640393,24.23477,22.714355
"126",92.549828,35.635544,26.762747,16.168232,18.961323,18.206778,22.488453,15.730918,24.320782,22.759428
"127",92.021164,35.79707,26.514639,15.915604,18.781673,18.084101,22.218422,15.601604,24.141582,22.736891
"128",92.289131,35.703865,26.530659,15.931389,18.839626,17.989296,22.197651,15.78264,24.206085,22.81951
"129",91.688065,35.219288,26.330584,15.773491,18.74691,18.12871,22.024555,15.750312,23.847702,22.842051
"130",91.86187,35.324909,26.362589,15.591922,18.874393,18.22909,22.079943,15.847301,23.912205,22.924677
"131",92.26741,35.971027,26.338572,15.655078,18.88019,18.368502,22.052246,15.931352,23.976721,22.977253
"132",91.282555,35.846764,25.922407,15.370875,18.694744,18.279276,21.893002,15.802039,23.733009,22.894634
"133",89.797951,35.505085,25.45022,15.118243,18.399199,18.21236,21.276789,15.672728,23.267094,22.654264
"134",89.450348,35.921322,25.122093,15.078765,18.323872,18.21236,21.311407,15.517558,22.937365,22.511553
"135",89.320007,34.759544,25.298166,15.126142,18.358646,18.262548,21.027531,15.556342,22.858524,22.601686
"136",89.776222,34.803062,25.146101,15.157719,18.399199,18.290428,21.117544,15.627467,22.96604,22.601686
"137",91.021805,35.163383,25.650301,15.378769,18.885983,18.569241,21.685287,15.821437,23.431952,23.134996
"138",90.39904,34.312263,25.314171,15.157719,18.810654,18.613857,21.082922,15.834373,22.951698,23.157528
"139",89.761757,33.846306,25.082069,14.999825,18.706337,18.658464,20.805973,15.802039,22.722324,23.262678
"140",91.398407,34.865181,25.626297,15.22877,18.949734,18.831331,21.117544,15.918421,23.095072,23.713367
"141",91.724243,35.473999,25.858389,15.394556,18.996096,18.909397,21.442959,15.996005,23.030554,23.916176
"142",91.847374,36.188465,25.562267,15.434032,18.972918,18.97632,21.394489,15.918421,22.736668,24.028837
"143",91.760498,35.877831,25.506252,15.38666,18.862808,18.825766,20.923677,15.814977,22.693663,23.908667
"144",92.680183,35.890266,25.818367,15.655078,19.198917,18.95401,21.304483,15.963679,22.951698,24.036352
"145",92.586052,36.436962,25.834377,15.631392,19.169941,18.870367,21.394489,15.886094,22.858524,23.953735
"146",92.129799,36.480469,25.594282,15.410346,19.111998,19.10458,21.221397,15.808501,22.715164,23.953735
"147",92.752586,36.555012,25.802362,15.599817,19.14677,19.087845,21.560659,15.950755,22.858524,24.103958
"148",92.99881,36.238167,25.962427,15.647187,19.227884,18.993048,21.692211,15.989545,23.044889,23.893639
"149",92.839493,35.933743,25.970438,15.599817,19.26845,18.998625,21.588356,15.996005,22.980377,23.901152
"150",92.622253,36.312721,25.914415,15.544555,19.227884,18.775568,21.692211,15.957211,22.887184,23.82604
"151",92.26741,36.101479,25.650301,15.489291,19.088816,18.95401,21.463732,16.028336,22.686491,23.818527
"152",91.955994,36.405899,25.298166,15.584031,18.862808,18.959587,21.484493,15.92488,22.335258,23.841066
"153",92.238426,36.107685,25.642302,15.647187,18.955528,18.931698,21.539886,16.092993,22.514456,23.818527
"154",91.97773,36.126331,25.634296,15.560343,18.897583,18.887102,21.297552,16.060667,22.385441,23.705856
"155",92.05014,35.380817,25.706326,15.694554,18.920763,19.015347,21.242163,16.092993,22.428442,23.758436
"156",93.150917,35.560997,26.066469,16.057707,19.239481,19.138027,21.692211,16.196444,22.837023,23.961245
"157",93.925797,35.411888,26.330584,16.310333,19.343792,18.959587,22.073011,16.215839,23.345938,24.17157
"158",94.164726,35.163383,26.490643,16.38138,19.407536,18.937283,21.934549,16.189983,23.374613,24.231651
"159",94.6427,35.710098,26.482634,16.444538,19.436514,19.149181,21.934549,16.286961,23.317272,24.269207
"160",94.237129,35.946182,26.194519,16.334021,19.361172,19.188215,21.934549,16.325756,23.109402,24.186581
"161",94.229912,36.188465,26.170523,16.341921,19.355385,19.255133,21.996857,16.312828,23.181086,24.261696
"162",93.969215,35.430527,25.938416,16.262966,19.297432,19.054386,21.962238,16.261103,23.009054,24.246681
"163",93.88958,35.890266,25.802362,16.326122,19.361172,19.132454,21.78915,16.34515,22.887184,24.411922
"164",94.005417,36.16983,25.802362,16.373487,19.256865,19.132454,21.858383,16.319288,22.894356,24.426949
"165",94.454422,35.647961,26.058475,16.523489,19.39595,19.277443,21.837612,16.383949,22.987543,24.584681
"166",94.563057,35.424309,26.250549,16.673492,19.314819,19.294168,21.927622,16.442135,23.044889,24.697369
"167",94.621002,34.827896,26.266548,16.79191,19.372766,19.1938,21.934549,16.487396,23.066387,24.712374
"168",94.606491,34.585613,26.346584,16.728748,19.39595,19.388971,22.038408,16.500328,23.116571,24.63727
"169",95.171341,35.101257,26.562675,16.799805,19.424915,19.405697,22.287659,16.590847,23.281433,24.764965
"170",95.352402,35.560997,26.642706,16.886646,19.494471,19.199379,22.41921,16.53266,23.331596,24.652288
"171",94.512367,34.35574,26.314571,16.610332,19.430719,19.126883,22.142256,16.487396,23.087902,24.562151
"172",94.077827,34.38681,26.402599,16.515596,19.280052,19.154762,21.899933,16.429209,23.030554,24.381878
"173",94.345779,33.51704,26.642706,16.649803,19.39015,19.154762,21.983009,16.51326,23.073551,24.577183
"174",94.439949,32.47953,26.850794,16.79191,19.401745,19.087845,21.394489,16.636108,23.095072,24.734917
"175",95.366875,32.274517,27.475035,17.084013,19.65093,18.987461,21.643753,16.642572,23.310097,25.020348
"176",95.750687,32.945484,27.587088,17.084013,19.795811,19.02651,21.796066,16.519728,23.546635,24.967768
"177",95.757912,32.212383,27.515059,17.123486,19.842165,18.948431,21.726831,16.603783,23.439121,24.937729
"178",95.982681,32.322735,27.632128,17.166201,19.902777,18.955185,21.708036,16.621973,23.560053,24.977669
"179",96.113632,33.101971,27.487785,17.158291,19.879475,18.89897,21.972673,16.55699,23.617643,24.970131
"180",95.873581,32.603252,27.543921,17.079182,19.914436,18.938313,21.694099,16.59598,23.524067,25.007822
"181",96.382683,31.730499,27.744394,17.356052,20.048479,18.910208,21.882135,16.693453,23.653637,25.105799
"182",95.917198,32.1357,27.592041,17.189924,19.908604,18.882109,21.687132,16.543995,23.430483,24.947523
"183",95.626274,31.998573,27.567976,17.087091,19.943573,18.859621,21.666243,16.55699,23.315315,24.789244
"184",96.360924,32.042206,27.99296,17.395611,20.147556,19.123819,21.784639,16.453024,23.596048,24.887215
"185",97.161018,32.746643,28.233517,17.506359,20.258291,19.095716,22.216423,16.472519,23.891174,24.909834
"186",97.277359,33.288982,28.185394,17.37188,20.165035,19.359915,22.167677,16.576487,23.948771,24.977669
"187",97.241028,33.18301,28.177385,17.458893,20.234976,19.298092,22.23036,16.5375,24.114328,24.932449
"188",97.161018,33.320156,28.025036,17.403515,20.176695,19.106955,22.035353,16.492014,23.999153,25.015354
"189",96.797363,32.939884,28.08918,17.276951,20.130072,19.247496,22.077141,16.381548,24.071138,24.872149
"190",97.001015,31.730499,28.329746,17.37188,20.328222,19.326199,21.784639,16.401041,24.222294,24.947523
"191",98.135666,32.198067,28.738697,17.640841,20.572994,19.404881,21.819458,16.576487,24.582218,25.166092
"192",98.324806,32.815212,28.818876,17.632931,20.561346,19.343054,22.167677,16.511509,24.704588,25.166092
"193",98.201141,32.846375,28.762751,17.640841,20.491411,19.23625,22.272135,16.420532,24.654194,25.068111
"194",98.259323,32.353909,28.963211,17.688314,20.549688,19.219385,22.453218,16.479015,24.682981,25.015354
"195",98.390289,32.958588,29.139622,17.704124,20.549688,19.359915,22.557678,16.420532,24.718983,24.909834
"196",98.273895,32.434944,29.067455,17.696222,20.497236,19.404881,22.355726,16.446535,24.726177,24.902304
"197",99.124863,33.195484,29.452354,17.957266,20.607969,19.399267,22.585545,16.472519,24.934933,25.053038
"198",99.379486,33.650543,29.372168,18.044291,20.683737,19.421759,22.808395,16.440029,24.877348,24.970131
"199",99.532204,34.442257,29.348106,18.036377,20.572994,19.517319,22.975561,16.466024,25.042915,25.007822
"200",99.21946,34.068226,29.243877,17.886078,20.572994,19.601633,22.815369,16.433533,24.906139,25.075649
"201",99.35038,33.850033,29.267918,17.838606,20.631285,19.81525,22.731791,16.498507,24.841352,25.346989
"202",99.510429,34.548233,29.251888,17.893991,20.497236,19.893942,22.885015,16.5375,24.783768,25.324366
"203",99.532204,34.099407,29.211792,18.004736,20.473925,20.017612,22.759645,16.59598,24.675793,25.520346
"204",99.990448,34.16172,29.596685,18.11548,20.607969,20.0401,22.905895,16.75843,24.805349,25.588171
"205",100.288673,34.785103,29.708937,17.988914,20.602142,20.056973,23.170555,16.706446,24.819759,25.505268
"206",100.630539,35.383572,29.604698,18.147129,20.689564,20.270586,23.149662,16.81691,24.841352,25.354528
"207",100.943306,35.302525,30.013641,18.242058,20.835264,20.180635,23.198408,16.927383,24.83415,25.452499
"208",100.310524,35.015781,29.716965,18.004736,20.677908,20.107557,23.254124,16.8689,24.654194,25.346989
"209",100.237778,34.386147,29.901392,18.06802,20.683737,20.096308,23.316799,16.797426,24.733376,25.203781
"210",100.223213,34.741482,29.837242,18.091749,20.648769,20.118799,23.358589,16.784424,24.675793,25.098249
"211",99.546791,34.386147,29.604698,18.012644,20.520555,20.242477,23.177517,16.654465,24.553432,24.917368
"212",99.488602,34.523285,29.57263,17.901894,20.462269,20.146904,23.254124,16.628471,24.467033,25.053038
"213",99.313995,35.283836,29.348106,17.901894,20.462269,20.00075,23.177517,16.550499,24.416645,24.924908
"214",100.434151,35.539421,29.708937,18.11548,20.701214,19.910814,23.463051,16.608971,24.632595,25.226391
"215",100.819649,35.265137,29.789133,18.210407,20.747849,19.843351,23.386452,16.63497,24.91333,25.422342
"216",101.037842,35.857346,29.933468,18.22624,20.835264,20.0401,23.442162,16.693453,24.949324,25.03797
"217",100.506866,36.156582,29.837242,18.218325,20.695396,20.034485,23.699848,16.59598,24.798161,24.450075
"218",100.550514,35.813713,29.933468,18.265791,20.864405,20.186258,23.470028,16.602478,24.83415,24.487757
"219",100.797829,35.751366,29.97356,18.424002,20.841089,20.180635,23.699848,16.550499,25.028511,24.53298
"220",101.554291,35.963318,30.302326,18.558479,20.963482,20.231228,23.69289,16.59598,25.107683,24.736483
"221",101.845222,36.299953,30.414576,18.598036,20.934347,20.163769,23.79039,16.680454,25.35243,24.857079
"222",102.107109,35.302525,30.61504,18.669231,21.138327,20.236851,23.665026,16.797426,25.467604,24.962589
"223",102.136215,35.595524,30.558914,18.700871,20.98097,20.259336,23.560553,16.823414,25.482002,25.03797
"224",102.194351,35.50201,30.438637,18.700871,21.115013,20.191875,24.013243,16.771425,25.39562,24.977669
"225",102.296173,36.156582,30.526836,18.692966,21.08004,20.225607,24.075918,16.745438,25.482002,24.939985
"226",102.499832,35.944626,30.590981,18.835346,21.103355,20.270586,24.410217,16.784424,25.582785,24.992746
"227",102.085236,35.869812,30.430624,18.795801,20.998453,20.349274,24.431107,16.719442,25.532393,24.887215
"228",100.681427,35.707737,29.989599,18.352806,20.672077,20.124416,24.027176,16.511509,25.122093,24.721405
"229",101.117836,36.281258,29.97356,18.447737,20.707047,20.270586,24.124662,16.582989,25.0933,24.774162
"230",102.172546,37.434517,30.182032,18.566402,20.835264,20.523542,24.326643,16.725941,25.294855,24.947523
"231",102.216187,37.721298,30.214119,18.605946,20.794466,20.652828,24.375397,16.641462,25.280439,25.068111
"232",101.990685,37.852196,30.174025,18.447737,20.672077,20.641588,24.180395,16.589489,25.136486,25.045507
"233",102.768951,37.796085,30.494776,18.685059,20.963482,20.804605,24.535572,16.829908,25.460409,24.924908
"234",103.212662,37.945694,30.751358,18.692966,21.062553,20.855198,24.640051,16.920876,25.517998,25.022894
"235",103.125389,37.839725,30.72731,18.574306,21.091703,20.754013,24.542538,16.940376,25.431616,25.060579
"236",102.674423,37.615292,30.58296,18.503105,21.03924,20.731525,24.695755,16.90789,25.388426,25.007822
"237",102.863564,37.571671,30.647121,18.503105,21.103355,20.669697,24.758442,16.940376,25.417213,25.053038
"238",103.161736,37.478153,30.759392,18.613857,21.219921,20.782118,24.667902,16.972872,25.302048,25.105799
"239",103.081711,37.565441,30.590981,18.550573,21.237406,20.860815,24.389313,16.933882,25.345236,25.113323
"240",103.190842,37.945694,30.751358,18.582218,21.260714,20.939514,24.535572,16.927383,25.258858,25.060579
"241",104.10006,38.49427,31.072117,18.740423,21.441381,20.973251,24.71664,16.992359,25.402824,25.188704
"242",104.10952,38.146641,30.941736,18.7444,21.494825,20.953959,24.902523,17.019794,25.542873,25.269636
"243",103.82431,37.046204,30.917591,18.672808,21.600533,20.806475,24.649063,17.006729,25.571894,25.322582
"244",104.021797,37.677708,30.933691,18.553455,21.582916,20.897238,24.832117,17.019794,25.579155,25.451162
"245",103.963264,37.164986,30.925648,18.561415,21.653393,20.829161,24.712416,17.032854,25.615438,25.466288
"246",103.582939,36.989925,30.788843,18.4739,21.55942,20.817808,24.416718,17.039385,25.564648,25.398214
"247",102.946594,36.633533,30.764709,18.330692,21.453712,20.74408,24.282944,17.026325,25.404984,25.292326
"248",103.553696,36.677288,30.861267,18.434118,21.647522,20.846176,24.494171,17.091631,25.528362,25.307451
"249",104.233871,37.108715,31.062445,18.569366,21.800219,20.959629,24.733545,17.150417,25.658968,25.428459
"250",104.014503,37.027454,31.03026,18.561415,21.700371,20.834835,24.698343,17.143887,25.571894,25.398214
"251",103.582939,36.658539,30.869324,18.50572,21.577047,20.829161,24.529373,17.058987,25.404984,25.330133
"252",103.400085,35.376797,30.998075,18.561415,21.682762,20.885897,24.367439,17.170006,25.564648,25.337713
"253",103.619476,34.732761,30.990021,18.847832,21.612291,20.857536,24.254791,17.196127,25.455797,25.62512
"254",102.793053,34.964111,30.780807,18.696674,21.441977,20.483145,24.092863,17.072037,25.368729,25.481413
"255",103.268433,34.964111,30.829084,18.752363,21.53594,20.471806,24.092863,17.098162,25.463053,25.511656
"256",103.180649,34.663982,30.998075,18.77623,21.5007,20.488811,24.099892,17.137346,25.448538,25.481413
"257",103.524399,33.994968,31.159018,18.871702,21.571175,20.49449,24.268869,17.209192,25.53561,25.526796
"258",103.97789,33.80114,31.505035,19.062643,21.706247,20.517181,24.529373,17.339815,25.746048,25.806641
"259",104.767838,34.663982,31.593569,19.110382,21.72974,20.347012,24.803947,17.31369,25.818617,25.927654
"260",104.563026,34.307594,31.706228,19.070602,21.788469,20.40941,24.867313,17.32675,25.956501,25.988155
