"","SPY","XLE","XLY","XLK","XLF","XLU","XLB","XLP","XLI","XLV"
"160",84.673836,34.422127,26.19717,17.727495,8.919264,19.61636,23.852339,19.066462,22.818605,23.151682
"161",84.351013,34.435318,25.959793,17.569725,8.861226,19.745115,23.587234,19.109261,22.568289,23.25666
"162",83.098969,33.901089,25.518923,17.32893,8.712892,19.777308,23.041857,19.016533,22.106749,22.755999
"163",83.421799,33.795563,25.781744,17.436874,8.73869,19.764435,23.110033,19.05933,22.067638,22.982103
"164",82.86274,33.492149,25.603706,17.262516,8.667746,19.674303,23.079742,18.916672,22.036345,22.83674
"165",84.146286,34.362755,26.019127,17.4701,8.854776,20.047703,23.769022,19.03793,22.482237,23.070925
"166",82.925735,33.861496,25.561314,17.237608,8.667746,19.745115,23.413017,18.873875,22.138041,22.780224
"167",82.925735,33.769165,25.595232,17.179476,8.74514,19.835251,23.51149,18.888138,22.051991,22.691389
"168",85.406181,35.028915,26.476944,17.619551,9.080498,20.266586,24.215919,19.223392,22.928129,23.216278
"169",86.201492,35.319111,26.968672,17.777313,9.170786,20.266586,24.503756,19.344656,23.217564,23.33741
"170",87.319664,35.747829,27.36714,18.043018,9.364264,20.356724,24.791588,19.465912,23.56958,23.555439
"171",86.335365,35.213593,26.926277,17.893557,9.15144,20.253716,24.549198,19.387453,23.350555,23.418169
"172",86.941704,35.516975,27.121271,17.993195,9.241728,20.15715,24.738564,19.473036,23.593046,23.547365
"173",87.343277,35.589531,27.146709,18.043018,9.357813,20.356724,24.655245,19.537241,23.56958,23.797693
"174",87.784256,35.958893,27.375614,18.051315,9.370712,20.240841,24.859756,19.629976,23.780792,24.039953
"175",88.760689,36.249088,27.706266,18.375153,9.570639,20.311661,25.261209,19.651365,24.015471,24.096481
"176",88.705582,36.123772,27.731688,18.449883,9.486796,20.28591,25.215767,19.687037,23.945066,24.177235
"177",89.044174,36.051231,27.782562,18.566124,9.519044,20.170019,25.170322,19.822563,23.945066,24.403337
"178",89.020554,35.886341,27.782562,18.674063,9.493248,20.099201,25.291512,19.843956,23.913776,24.306438
"179",89.05378,35.706772,27.854858,18.7749,9.443474,20.064737,25.296152,19.791512,24.137857,24.301571
"180",90.415466,36.309723,28.390701,19.0499,9.62446,20.331394,25.458448,20.007032,24.499531,24.626236
"181",90.233353,36.336227,28.271631,19.016567,9.53397,20.227329,25.342522,19.971111,24.546707,24.642475
"182",89.790009,36.07119,28.084503,18.9249,9.378838,20.370419,25.404348,20.007032,24.42091,24.683048
"183",89.06176,35.845917,27.939919,18.899902,9.197858,20.136278,25.164761,19.877722,24.059231,24.553185
"184",90.898361,36.621147,28.662859,19.266565,9.443474,20.461475,25.783064,20.143522,24.719687,24.885975
"185",90.462959,36.481991,28.475742,19.274893,9.34006,20.500498,25.6362,20.028582,24.562437,24.699286
"186",90.77961,36.74041,28.696886,19.2999,9.359447,20.513506,25.6362,20.157892,24.696096,24.90221
"187",90.621284,37.131348,28.492758,19.258226,9.288349,20.47448,25.435268,20.100424,24.688238,24.812922
"188",90.352112,37.1446,28.416203,19.183229,9.275419,20.409443,25.334795,20.028582,24.593885,24.74799
"189",90.732109,37.641537,28.450235,19.191566,9.372373,20.520008,25.667124,20.064505,24.617472,24.74799
"190",90.051292,37.171093,28.390701,19.03323,9.30774,20.480991,25.257507,20.007032,24.358011,24.504488
"191",91.864189,38.045712,28.986065,19.408234,9.521041,20.708628,25.968554,20.19381,25.010593,24.959028
"192",91.856285,38.38364,28.790449,19.316561,9.514577,20.611071,26.215874,20.280016,25.159983,24.86162
"193",91.745422,38.191467,28.926519,19.316561,9.475795,20.650091,25.953085,20.208176,25.104944,24.910324
"194",92.26001,38.668545,29.224215,19.424896,9.501646,20.715136,26.46319,20.251284,25.317236,24.97526
"195",92.347122,38.774548,29.232723,19.458227,9.488721,20.721636,26.416811,20.272833,25.246469,24.991497
"196",92.632095,38.714924,29.300755,19.574892,9.598607,20.637077,26.486374,20.323124,25.230743,25.048311
"197",93.352509,39.185356,29.343285,19.733225,9.60507,20.715136,26.911455,20.495533,25.647455,25.226875
"198",92.98835,39.125721,29.309265,19.74156,9.437015,20.682613,26.656406,20.502724,25.498072,25.178181
"199",93.178337,39.231747,29.521891,20.074892,9.275419,20.74765,26.733692,20.553005,25.34082,25.283699
"200",93.637535,39.337749,29.564425,20.208221,9.48226,20.74765,26.84963,20.624846,25.325098,25.519083
"201",92.410431,38.555897,29.028587,19.849892,9.352988,20.786673,26.161766,20.373405,24.987013,25.040194
"202",93.312904,39.052841,29.402822,20.016558,9.443474,20.955778,26.702774,20.553005,25.34082,25.275572
"203",93.518761,39.032963,29.572926,20.033222,9.443474,20.864725,26.695053,20.624846,25.545252,25.340509
"204",93.692902,39.291374,29.734528,20.091555,9.437015,20.728142,26.501831,20.696678,25.537382,25.348627
"205",93.969986,39.397388,29.921644,20.149885,9.404694,20.682613,27.07375,20.746969,25.623863,25.48662
"206",93.98584,39.476891,30.049223,20.199886,9.417621,20.630581,26.911455,20.632029,25.50593,25.413561
"207",93.716675,39.311249,29.862103,20.258224,9.424087,20.546024,26.664139,20.524273,25.317236,25.259346
"208",93.732521,39.225105,29.99819,20.258224,9.424087,20.598053,26.679594,20.596102,25.262199,25.405443
"209",93.803734,39.251614,29.989674,20.291561,9.411158,20.630581,26.895988,20.667942,25.301504,25.299927
"210",93.835419,39.297989,29.930157,20.308231,9.411158,20.428957,26.880535,20.581741,25.301504,25.299927
"211",94.579597,39.728676,30.270363,20.508223,9.437015,20.669601,27.158773,20.703863,25.545252,25.543427
"212",94.959564,39.814796,30.423445,20.624895,9.527502,20.630581,27.081488,20.768515,25.584553,25.559662
"213",96.7883,41.080349,30.899759,20.933218,9.844228,20.851713,27.970285,21.019953,26.127068,25.681416
"214",97.152496,41.285748,31.052851,20.916557,10.070458,20.845211,28.070755,20.912191,26.284317,25.527201
"215",96.970398,41.411636,31.001818,20.933218,9.992894,20.728142,28.140322,20.87628,26.17425,25.462265
"216",96.273727,41.332138,30.721146,20.874891,9.805442,20.65659,27.645681,20.768515,25.938375,25.356752
"217",96.661644,41.862206,30.993317,20.891558,9.915324,20.565542,27.784796,20.703863,25.93051,25.348627
"218",96.297493,42.326012,30.950777,20.574896,9.818369,20.552526,28.070755,20.725418,25.781118,25.421673
